date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2017-07-06,39.26429,17.63294,14.07437,25.42982,14.31427
2017-07-07,35.30587,15.2339,13.59456,23.19072,10.43582
2017-07-08,34.2263,15.51379,14.2343,25.18992,9.51619
2017-07-09,36.90523,17.11315,13.55457,25.46981,11.11555
2017-07-10,42.94282,15.75369,13.9944,26.38944,10.4758
2017-07-11,46.42143,17.71291,13.51459,27.7489,17.79288
2017-07-12,42.58296,16.67333,14.59416,26.46941,17.15313
2017-07-13,38.54458,15.39384,13.39464,24.39024,17.03318
2017-07-14,39.22431,17.19312,12.59496,27.62894,16.2335
2017-07-15,37.50499,15.79368,13.27469,25.70971,9.67612
2017-07-16,41.62335,16.95321,13.63454,27.10915,14.67413
2017-07-17,44.94202,17.87285,12.83486,26.90923,16.43342
2017-07-18,47.82087,17.75289,12.95481,26.30947,15.07397
2017-07-19,42.42303,17.71291,13.75449,31.46741,16.35345
2017-07-20,47.10115,17.95281,15.59376,27.30907,18.39264
2017-07-21,42.42303,17.95281,16.03358,26.70931,16.9932
2017-07-22,37.50499,15.63374,12.95481,28.34866,15.31387
2017-07-23,36.2255,17.2331,14.79408,30.2279,12.35505
2017-07-24,39.42423,19.51219,14.27429,28.30867,13.67453
2017-07-25,46.22151,19.35225,15.03398,28.62854,16.35345
2017-07-26,38.46461,18.03278,13.59456,26.18952,14.75409
2017-07-27,40.02399,17.55297,12.39504,24.75009,12.35505
2017-07-28,36.90523,18.59256,13.11475,27.82886,11.67532
2017-07-29,37.66493,16.43342,17.07317,26.70931,9.63614
2017-07-30,36.78528,18.19272,17.27309,30.9876,11.03558
2017-07-31,36.38544,18.83246,17.15313,27.62894,10.39584
2017-08-01,41.22351,18.95241,16.39344,27.82886,13.2347
2017-08-02,44.54218,19.31227,15.43382,28.02878,12.2351
2017-08-03,44.30227,17.39304,16.03358,29.06837,12.31507
2017-08-04,42.90283,17.67293,17.03318,30.18792,15.31387
2017-08-05,43.10275,18.71251,15.07397,27.62894,12.79488
2017-08-06,42.42303,18.35265,14.994,27.62894,12.07516
2017-08-07,42.94282,19.03238,15.51379,28.06877,14.75409
2017-08-08,45.22191,19.35225,15.95361,29.66813,13.27469
2017-08-09,40.86365,20.15193,16.75329,29.58816,11.79528
2017-08-10,42.22311,18.47261,16.51339,28.42862,10.63574
2017-08-11,39.38424,18.87245,16.79328,30.90763,9.95601
2017-08-12,33.70651,17.63294,14.59416,24.71011,7.9968
2017-08-13,36.18552,19.27229,16.11355,26.06957,7.477
2017-08-14,37.7449,19.51219,16.27349,27.54898,7.11715
2017-08-15,42.70291,21.19152,18.07277,31.34746,6.55737
2017-08-16,50.4998,19.75209,16.43342,28.2287,7.51699
2017-08-17,43.02279,19.51219,15.75369,27.26909,7.35705
2017-08-18,38.94442,15.87365,13.91443,28.02878,7.2371
2017-08-19,34.986,19.95201,15.63374,28.18872,7.63694
2017-08-20,41.14354,20.67173,16.75329,29.7481,7.477
2017-08-21,39.10435,20.59176,15.39384,30.94762,7.87684
2017-08-22,40.90363,20.2319,14.59416,28.34866,9.55617
2017-08-23,44.82207,20.2319,14.35425,29.14834,8.87644
2017-08-24,39.02439,17.59296,15.11395,30.26789,7.87684
2017-08-25,37.2251,20.55177,14.43422,29.62814,7.477
2017-08-26,31.86725,18.75249,16.59336,30.34786,6.51739
2017-08-27,39.58416,18.63254,16.75329,30.18792,6.55737
2017-08-28,38.34466,21.47141,14.15433,27.50899,7.39704
2017-08-29,38.90443,20.71171,17.31307,32.46701,6.27748
